senti_words,score
건강하고,2.0
건강하고 온전하다,2.0
건강하고 온전한,2.0
건강하다,2.0
건강하여,2.0
건강하여 아름다운,2.0
건강하지 못하다,-1.0
건강한,2.0
건달처럼,-1.0
건둥건둥,1.0
건둥건둥하다,1.0
건둥반둥하다,-1.0
건드려 귀찮게,-1.0
건들거리고,-1.0
건들거리고 벙글거리며,-1.0
건들건들,-1.0
건들건들 지내다,-1.0
건들대다,-1.0
건망증이,-1.0
건망증이 심하며,-1.0
건방져,-2.0
건방지게,-2.0
건방지게 행동하다,-2.0
건방지네,-2.0
건방지다,-2.0
건방지며,-2.0
건방진,-1.0
건방짐,-2.0
건성 기침,-1.0
건성으로,-1.0
건성으로 묻다,-1.0
건장하다,2.0
건장한,2.0
건장한 모양,2.0
건전하고,2.0
건전하고 착실한,2.0
건전하지 못하고,-1.0
건전하지 못한,-1.0
건전하지 아니하게,-1.0
건전한,2.0
건전함,2.0
건정히,2.0
걷지 못하고,-1.0
걷지 못하는,-1.0
걸리거나,-1.0
걸리거나 막히는,-1.0
걸리다,-1.0
걸리적대다,-1.0
걸핏하면,-1.0
검사에 불합격한,-2.0
검소하다,1.0
검소한,2.0
검은 티끌이라는,-1.0
검질기게 구는,-1.0
검질기게 굴다,-1.0
겁,-1.0
겁나게,-1.0
겁나게 하기,-1.0
겁나다,-1.0
겁내다,-1.0
겁에,-1.0
겁에 지리다,-2.0
겁에 질려,-2.0
겁에 질려서,-2.0
겁에 질리거나,-2.0
겁을,-1.0
겁을 내거나,-1.0
겁을 내다,-1.0
겁을 먹거나,-1.0
겁을 먹어,-1.0
겁을 주며,-1.0
겁이 나거나,-1.0
겁이 나서,-1.0
겁이 많고,-2.0
겁이 많다,-2.0
겁이 많아,-2.0
겁이 많은,-2.0
겁이 많음,-2.0
겁자기 부서지거나,-1.0
겁쟁이,-2.0
것같이 아프다,-1.0
것보다 낫다,2.0
것을 샘하여,-1.0
것을 짓밟다,-1.0
것이 거북하거나,-1.0
것이 깨끗하고,2.0
것이 해결되어,2.0
겉만 그럴듯한,-1.0
겉면이 매끄럽고,1.0
겉모양의 아름다움과,1.0
겉치레,-1.0
게걸스럽게,-2.0
게걸스럽게 돌아다니는,-2.0
게걸스럽게 돌아다니다,-2.0
게우는,-1.0
게우는 소리,-1.0
게우는 소리가,-1.0
게울,-1.0
게울 듯이,-1.0
게워,-1.0
게워 내는,-1.0
게워 내다,-1.0
게으르거나,-1.0
게으르게,-1.0
게으르게 놀며,-1.0
게으르게 행동하는,-1.0
게으르게 행동하다,-1.0
게으르고,-1.0
게으르다,-1.0
게으름,-1.0
게으름을,-1.0
게으름을 피우며,-1.0
게으름이,-1.0
게으름이 나는,-1.0
게으름이나,-1.0
게으름이나 싫증,-1.0
게을러빠지다,-2.0
게을러터지다,-2.0
게을리하지 않고,2.0
겐트위한,-1.0
겨를이 없음,-1.0
겨우 빠듯하게,-1.0
겨우겨우,-1.0
겨우겨우 살기를,-1.0
겨운,-1.0
겨운 일에,-1.0
격노,-2.0
격노하다,-2.0
격동시키다,0.0
격려되다,1.0
격려하다,1.0
격분,-2.0
격분하다,-2.0
격식에 맞아,1.0
격식을 갖추지 않고,-1.0
격에 어울리지,-1.0
격하게,-2.0
격하게 되다,-2.0
격하다,0.0
격하시키다,-2.0
격한,-2.0
격한 감정이,-2.0
격한 기운이,-2.0
격한 느낌이,-2.0
겪거나 불쌍한,-1.0
견고하다,1.0
견디기 어렵게,-2.0
견디기가 어려울,-2.0
견디어 내다,1.0
견딜 수 없는,-2.0
견줄 수 없을 정도로,1.0
결기가,-1.0
결기가 나다,-1.0
결단성 없다,-1.0
결단성 없이,-1.0
결단성이 없고,-1.0
결단성이 없다,-1.0
결단을 못 내리는,-1.0
결딴날,-2.0
결딴날 듯이,-2.0
결막염,-1.0
결석,-2.0
결석하다,-2.0
결심 없이,-1.0
결점,-1.0
결점이 없도록,1.0
결정을 못하고,-1.0
결정하지 못하고,-1.0
결정하지 못하는,-1.0
결정하지 못하다,-1.0
결정하지 못함,-1.0
결핍,-2.0
결핍증,-2.0
결함,-1.0
결함을,-1.0
결함을 드러내어,-1.0
결함을 들추어,-1.0
결함을 풍자하였다,-1.0
결함이 없이,2.0
결함이 있다,-1.0
결함이나,-1.0
결함이나 잘못,-1.0
결함이나 잘못에,-1.0
결핵,-1.0
겸손하게,1.0
겸손하게 이르는,1.0
겸손하고,1.0
겸손하고 예의,2.0
겸손하고 예의 바른,2.0
겸손하다,2.0
겸손한,2.0
겸연쩍고,-1.0
겸연쩍다,-1.0
겹거나,-2.0
겹게,-2.0
겹게 여기다,-2.0
경건하다,2.0
경건한,1.0
경련,-1.0
경련을 일으키다,-2.0
경련이,-1.0
경련이 일어나,-2.0
경망스러우며,-1.0
경망스러우며 추잡하다,-2.0
경망스러운,-1.0
경망스러운 여자를,-1.0
경망스럽게,-1.0
경망스럽게 까부는,-1.0
경망스럽게 내어,-1.0
경망스럽게 내흔들거나,-2.0
경망스럽게 놀려,-1.0
경망스럽게 덤비며,-1.0
경망스럽게 떠벌리는,-1.0
경망스럽게 이리저리,-1.0
경망스럽게 추켰다,-1.0
경망스럽게 행동하는,-1.0
경망스럽게 행동하다,-1.0
경망스럽고,-1.0
경망스럽고 가볍게,-1.0
경망스럽고 방정맞은,-1.0
경망스럽다,-2.0
경망하게,-1.0
경망하게 행동하는,-1.0
경망하게 행동하다,-1.0
경망한,-1.0
경망한 짓,-1.0
경멸,-2.0
경멸하다,-2.0
경멸히,-2.0
경멸히 여겨,-2.0
경박스럽게,-1.0
경박스럽게 함부로,-2.0
경박하게,-1.0
경박하다,-1.0
경박한,-1.0
경박한 행동을,-1.0
경사스러운,2.0
경사스러운 일을,2.0
경상,-2.0
경솔하게,-1.0
경솔하게 까부는,-1.0
경솔하게 말하며,-1.0
경솔하게 행동하는,-1.0
경솔하게 행동하다,-1.0
경솔하게 행동하여,-1.0
경솔하고,-1.0
경솔하고 방정맞게,-2.0
경솔하다,-1.0
경솔한,-1.0
경솔한 모양,-1.0
경이로운,2.0
경이롭다,2.0
경치 좋은,2.0
경치가 뛰어나거나,2.0
경치가 맑고,2.0
경치가 아름다움을,2.0
경치가 아름답다,2.0
경치가 좋거나,2.0
경치도 좋음,2.0
경치를 즐기는,2.0
경쾌하다,2.0
경험이 많고,1.0
경험이 적거나,-1.0
경황이 없어,-1.0
계급을 올림,2.0
